episode,episode_reward,episode_time,success
0,-829.0416997055104,176,0
1,-152.1672285336317,259,0
2,-144.67413003169887,196,0
3,-136.64513602533037,236,0
4,-448.9138634003847,325,0
5,-311.4395161597995,358,0
6,-265.42368663878074,175,0
7,-385.97445027316456,129,0
8,181.1674233599697,163,0
9,46.372823648368644,178,0
10,-148.45085781604118,199,0
11,57.20822035225816,220,0
12,122.09634577418979,263,0
13,792.6818512415987,332,0
14,473.73569167786934,279,0
15,547.59685648756,376,0
16,250.19300568444947,376,0
17,401.33491282547635,148,0
18,-124.76918682771387,317,0
19,300.30853559951623,337,0
20,796.9675523532864,262,0
21,201.67378469337916,164,0
22,377.47663216784173,276,0
23,795.6353327718903,302,0
24,468.1054770193384,161,0
25,519.5736388743056,252,0
26,614.2040593764254,389,0
27,577.3522594550161,262,0
28,757.290741609615,375,0
29,960.209842814802,904,0
30,443.97464505989694,272,0
31,1003.1296346621609,410,0
32,310.40566617007954,165,0
33,666.6019973230899,305,0
34,329.1476644427551,178,0
35,386.003724158511,283,0
36,750.0945334674486,444,0
37,933.7377587277101,343,0
38,348.0141686766339,337,0
39,796.5490483705969,259,0
40,533.1832793451078,552,0
41,879.2710583917053,479,0
42,602.8145153334051,263,0
43,537.5490148765714,177,0
44,377.192256390526,431,0
45,935.5583069382037,303,0
46,96.79017779114368,523,0
47,612.6940093470046,410,0
48,1029.4925635188315,602,0
49,-150.50206136940906,318,0
50,1170.5407458449326,633,0
51,636.1263033567936,339,0
52,1170.7606219710833,337,0
53,687.0403117692504,299,0
54,487.0601392599732,157,0
55,484.98210973515313,159,0
56,66.61391664155724,649,0
57,586.9715538131245,371,0
58,1150.5776369011342,315,0
59,804.8345529641164,388,0
60,359.1922019970304,326,0
61,373.6384743637856,181,0
62,527.4524610145653,173,0
63,914.561501748946,616,0
64,784.0136454251084,430,0
65,63.7938281927568,313,0
66,231.7735855038061,324,0
67,785.1643783181237,413,0
68,731.7117756367074,540,0
69,137.96425389884885,409,0
70,1012.3240135561771,420,0
71,526.6542378694558,667,0
72,687.4132000767657,447,0
73,943.8041354437797,397,0
74,497.35583323775063,168,0
75,966.4493366527703,354,0
76,492.4940436663924,437,0
77,85.26353447124498,197,0
78,989.5005023034938,647,0
79,885.6931720961458,607,0
80,558.506497535254,453,0
81,975.8832657582777,335,0
82,760.0866833019318,377,0
83,1051.8016263387235,373,0
84,973.4599035590459,437,0
85,565.9870827203267,334,0
86,792.0797260558182,409,0
87,256.0393317438717,325,0
88,650.774537593146,296,0
89,525.1327840383747,180,0
90,1053.2043823209049,416,0
91,1428.5796536328342,346,0
92,331.25342571862217,408,0
93,1225.5482605360178,460,0
94,361.75433147046124,177,0
95,343.4596947433661,423,0
96,511.6018610061641,456,0
97,396.082351844868,404,0
98,599.353010326762,533,0
99,1360.475920854397,537,0
100,1415.3186109905366,723,0
101,1197.5465041266707,541,0
102,1971.3198807690558,793,0
103,1120.407861624998,508,0
104,1044.183347522773,366,0
105,574.41787485718,397,0
106,1361.1206928972922,399,0
107,515.7801255290133,377,0
108,1276.8201219838636,851,0
109,878.3607067893122,718,0
110,1029.0822843185035,569,0
111,535.0680607140255,543,0
112,876.6778365718886,478,0
113,373.9137137578744,331,0
114,326.1257160843767,418,0
115,1518.1504279027968,1002,0
116,926.5256667921548,298,0
117,333.30050755929057,481,0
118,645.6041820676414,541,0
119,1053.5632849026042,503,0
120,1201.9658670776075,429,0
121,1519.3555510440212,609,0
122,1081.8838698489396,339,0
123,780.3977299853932,339,0
124,1165.0762456136913,481,0
125,711.908833997523,457,0
126,53.68789471881689,257,0
127,949.8190291991468,506,0
128,1956.9307972938882,1498,0
129,1687.369968572053,1005,0
130,762.3672504505006,293,0
131,1034.5379913095096,347,0
132,941.3199115936148,350,0
133,331.8784259008741,394,0
134,1084.792787362335,357,0
135,1141.6757440723525,608,0
136,1891.6845338613264,1518,0
137,2589.691998356476,1274,0
138,2794.8510810047965,1212,0
139,1919.213771650395,765,0
140,714.7853713327033,369,0
141,493.8022326881419,286,0
142,337.85925975931076,479,0
143,2524.187083205986,2419,1
144,1845.2364382680832,1454,1
145,1213.13997506134,935,1
146,1068.8363967776497,646,1
147,1546.4614351630717,799,1
148,872.7684410886118,605,1
149,2269.76391414413,2320,1
150,1904.9175147258607,1823,1
151,3697.693391461806,2653,1
152,291.7383332699731,278,1
153,767.2545617559301,451,1
154,1212.1752927926161,789,1
155,3596.6270887401993,2478,1
156,2946.9195012730243,2550,1
157,2327.4112162110714,1733,1
158,3158.6700585429257,2570,1
159,1056.0300256737762,983,1
160,1200.6034228894916,2071,1
161,1981.0247922238225,1544,1
162,1280.235195803469,715,1
163,1639.6476926830737,1992,1
164,1037.55918579591,1275,1
165,1180.2917257013498,2027,1
166,422.44911364577644,574,1
167,2077.2764073197354,2203,1
168,1557.827151139788,1491,1
169,2098.516686177907,1549,1
170,1632.9138055918727,2123,1
171,1596.677023889808,2096,1
172,1495.176099523068,2140,1
